,filename
73,1F6343EE-AFEC-4B7D-97F5-62797EE18767.jpeg
74,5A78BCA9-5B7A-440D-8A4E-AE7710EA6EAD.jpeg
75,2B8649B2-00C4-4233-85D5-1CE240CF233B.jpeg
76,6C94A287-C059-46A0-8600-AFB95F4727B7.jpeg
77,pneumococcal-pneumonia-day0.jpg
78,pneumococcal-pneumonia-day7.jpg
79,pneumococcal-pneumonia-day35.jpg
80,parapneumonic-effusion-1-PA.png
81,right-upper-lobe-pneumonia-9-PA.jpg
82,chlamydia-pneumonia-PA.png
83,cavitating-pneumonia-4-day0-PA.jpg
84,cavitating-pneumonia-4-day28-PA.png
85,covid-19-pneumonia-30-PA.jpg
86,58cb9263f16e94305c730685358e4e_jumbo.jpeg
87,9fdd3c3032296fd04d2cad5d9070d4_jumbo.jpeg
88,covid-19-pneumonia-rapidly-progressive-admission.jpg
89,covid-19-pneumonia-rapidly-progressive-12-hours.jpg
90,covid-19-pneumonia-rapidly-progressive-3-days.jpg
91,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-admission.jpg
92,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-2.jpg
93,covid-19-rapidly-progressive-acute-respiratory-distress-syndrome-ards-day-3.jpg
94,covid-19-infection-exclusive-gastrointestinal-symptoms-pa.png
95,covid-19-pneumonia-28.png
96,klebsiella-pneumonia-1.jpg
97,pneumocystis-jirovecii-pneumonia-3-1.jpg
98,pneumocystis-jirovecii-pneumonia-3-2.jpg
99,pneumocystis-pneumonia-1.jpg
100,pneumocystis-pneumonia-8.jpg
101,pneumocystis-pneumonia-12.png
102,pneumocystis-jiroveci-pneumonia-2.png
103,pneumocystis-jirovecii-pneumonia-2.jpg
104,pneumocystis-jiroveci-pneumonia-4-PA.png
105,legionella-pneumonia-1.png
106,legionella-pneumonia-2.jpg
107,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-000-fig1b.png
108,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-001-fig2a.png
109,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-002-fig3b.png
110,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-003-fig4a.png
111,1.CXRCTThoraximagesofCOVID-19fromSingapore.pdf-003-fig4b.png
112,covid-19-pneumonia-24-day6.jpg
113,covid-19-pneumonia-24-day7.jpg
114,covid-19-pneumonia-24-day12.jpg
115,covid-19-pneumonia-evolution-over-a-week-1-day0-PA.jpg
116,covid-19-pneumonia-evolution-over-a-week-1-day3.jpg
117,covid-19-pneumonia-evolution-over-a-week-1-day4.jpg
118,covid-19-pneumonia-evolution-over-a-week-1-day6.jpg
119,covid-19-pneumonia-23-day1.jpg
120,covid-19-pneumonia-23-day3.jpg
121,covid-19-pneumonia-23-day9.jpg
122,A7E260CE-8A00-4C5F-A7F5-27336527A981.jpeg
123,RX-torace-a-letto-del-paziente-in-unica-proiezione-AP-1-1.jpeg
124,covid-19-caso-70-1-PA.jpg
125,covid-19-caso-70-2-APS.jpg
126,4e43e48d52c9e2d4c6c1fb9bc1544f_jumbo.jpeg
127,covid-19-pneumonia-53.jpg
128,post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day1.jpg
129,post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day6-2.jpg
130,post-intubuation-pneumomediastium-and-pneumothorax-background-covid-19-pneumonia-day7.jpg
131,covid-19-pneumonia-49-day4.jpg
132,covid-19-pneumonia-49-day8.jpg
133,covid-19-pneumonia-43-day0.jpeg
134,covid-19-pneumonia-43-day2.jpeg
135,covid-19-pneumonia-40.jpg
136,covid-19-pneumonia-42.jpeg
137,da9e9aac-de8c-44c7-ba57-e7cc8e4caaba.annot.original.jpeg
138,4ad30bc6-2da0-4f84-bc9b-62acabfd518a.annot.original.png
139,figure1-5e7c1b8d98c29ab001275405-98.jpeg
140,figure1-5e7c1b8d98c29ab001275405-98-later.jpeg
141,radiol.2020201160.fig3b.jpeg
142,radiol.2020201160.fig6b.jpeg
143,radiol.2020200274.fig3d.png
144,covid-19-pneumonia-20-pa-on-admission.jpg
145,covid-19-pneumonia-20.jpg
146,covid-19-pneumonia-22-day1-pa.png
147,covid-19-pneumonia-34.png
148,covid-19-pneumonia-38-pa.jpg
149,covid-19-pneumonia-35-1.jpg
150,covid-19-pneumonia-35-2.jpg
151,covid-19-pneumonia-44-day-0.jpeg
152,covid-19-pneumonia-58-prior.jpg
153,covid-19-pneumonia-58-day-9.jpg
154,covid-19-pneumonia-58-day-10.jpg
155,covid-19-pneumonia-mild.JPG
